Ticker,Metric,Filed_Date,Period_End,Value,Form
BRK-A,TotalAssets,2015-05-01,2015-03-31,531076000000.0,10-Q
BRK-A,TotalAssets,2015-08-07,2015-06-30,540774000000.0,10-Q
BRK-A,TotalAssets,2015-11-06,2015-09-30,545468000000.0,10-Q
BRK-A,TotalAssets,2016-02-29,2015-12-31,552257000000.0,10-K
BRK-A,TotalAssets,2016-05-06,2015-12-31,552257000000.0,10-Q
BRK-A,TotalAssets,2016-05-06,2016-03-31,586315000000.0,10-Q
BRK-A,TotalLiabilities,2013-03-01,2011-12-31,223686000000.0,10-K
BRK-A,TotalLiabilities,2013-03-01,2012-12-31,235864000000.0,10-K
BRK-A,TotalLiabilities,2013-05-03,2012-12-31,235864000000.0,10-Q
BRK-A,TotalLiabilities,2013-08-02,2012-12-31,235864000000.0,10-Q
BRK-A,TotalLiabilities,2013-11-01,2012-12-31,235864000000.0,10-Q
BRK-A,TotalLiabilities,2014-03-03,2012-12-31,235864000000.0,10-K
BRK-A,TotalLiabilities,2013-05-03,2013-03-31,240196000000.0,10-Q
BRK-A,TotalLiabilities,2013-08-02,2013-06-30,241575000000.0,10-Q
BRK-A,TotalLiabilities,2013-11-01,2013-09-30,246650000000.0,10-Q
BRK-A,TotalLiabilities,2014-03-03,2013-12-31,260446000000.0,10-K
BRK-A,TotalLiabilities,2014-05-02,2013-12-31,260446000000.0,10-Q
BRK-A,TotalLiabilities,2014-08-01,2013-12-31,260446000000.0,10-Q
BRK-A,TotalLiabilities,2014-11-07,2013-12-31,260446000000.0,10-Q
BRK-A,TotalLiabilities,2015-03-02,2013-12-31,260446000000.0,10-K
BRK-A,TotalLiabilities,2014-05-02,2014-03-31,264655000000.0,10-Q
BRK-A,TotalLiabilities,2014-08-01,2014-06-30,267619000000.0,10-Q
BRK-A,TotalLiabilities,2014-11-07,2014-09-30,277061000000.0,10-Q
BRK-A,TotalLiabilities,2015-03-02,2014-12-31,283159000000.0,10-K
BRK-A,TotalLiabilities,2015-05-01,2014-12-31,283159000000.0,10-Q
BRK-A,TotalLiabilities,2015-08-07,2014-12-31,283159000000.0,10-Q
BRK-A,TotalLiabilities,2015-11-06,2014-12-31,283159000000.0,10-Q
BRK-A,TotalLiabilities,2016-02-29,2014-12-31,282840000000.0,10-K
BRK-A,TotalLiabilities,2015-05-01,2015-03-31,286237000000.0,10-Q
BRK-A,TotalLiabilities,2015-08-07,2015-06-30,291572000000.0,10-Q
BRK-A,TotalLiabilities,2015-11-06,2015-09-30,294147000000.0,10-Q
BRK-A,TotalLiabilities,2016-02-29,2015-12-31,293630000000.0,10-K
BRK-A,TotalLiabilities,2016-05-06,2015-12-31,293630000000.0,10-Q
BRK-A,TotalLiabilities,2016-05-06,2016-03-31,324478000000.0,10-Q
BRK-A,StockholdersEquity,2013-03-01,2011-12-31,164850000000.0,10-K
BRK-A,StockholdersEquity,2013-03-01,2012-12-31,187647000000.0,10-K
BRK-A,StockholdersEquity,2013-05-03,2012-12-31,187647000000.0,10-Q
BRK-A,StockholdersEquity,2013-08-02,2012-12-31,187647000000.0,10-Q
BRK-A,StockholdersEquity,2013-11-01,2012-12-31,187647000000.0,10-Q
BRK-A,StockholdersEquity,2014-03-03,2012-12-31,187647000000.0,10-K
BRK-A,StockholdersEquity,2013-05-03,2013-03-31,198071000000.0,10-Q
BRK-A,StockholdersEquity,2013-08-02,2013-06-30,202016000000.0,10-Q
BRK-A,StockholdersEquity,2013-11-01,2013-09-30,208382000000.0,10-Q
BRK-A,StockholdersEquity,2014-03-03,2013-12-31,221890000000.0,10-K
BRK-A,StockholdersEquity,2014-05-02,2013-12-31,221890000000.0,10-Q
